Brand Cockpit - Level 1,Brand Cockpit - Level 2,Platform,Global / Local,MU,Category,Month,Year,Data,Scenario,Value
Lay's,PC Max,Build Lays Powerbrand,Global,France,Snacks,Oct,2017,NR,LY,"-908,281.30"
Lay's,PC Max,Build Lays Powerbrand,Global,France,Snacks,Nov,2017,NR,Actual,"-889,898.70"
Chipsy,Max,Build Lays Powerbrand,Local,Germany,Snacks,Sep,2017,NR,Fcst,"-577,935.10"
Chipsy,Max,Build Lays Powerbrand,Local,Germany,Snacks,Sep,2017,NR,Actual,"-550,412.60"
Balance,Fournista,Other,Local,France,Snacks,Apr,2017,NR,Actual,"-520,634.70"
Balance,Fournista,Other,Local,France,Snacks,Feb,2017,NR,Actual,"-493,872.70"
Balance,Fournista,Other,Local,France,Snacks,Mar,2017,NR,Actual,"-490,778.70"
Balance,Fournista,Other,Local,France,Snacks,Jan,2017,NR,Actual,"-448,642.90"
Quaker,Oats,Other,Global,Belgium,Snacks,Dec,2017,NR,Plan,"-279,967.40"
Lipton,Lipton,RTD,Global,Spain,Beverages,Oct,2017,NR,Actual,"-216,418.00"
Lay's,PC Max,Build Lays Powerbrand,Global,France,Snacks,Oct,2017,Vol,LY,"-187,025.60"
Star,Popcorn,Capture Family Fun,Local,France,Snacks,Oct,2017,NR,Actual,"-107,310.90"
Star,Popcorn,Capture Family Fun,Local,France,Snacks,Feb,2017,NR,Actual,"-106,857.80"
Star,Popcorn,Capture Family Fun,Local,France,Snacks,Apr,2017,NR,Actual,"-106,013.20"
Star,Popcorn,Capture Family Fun,Local,France,Snacks,Sep,2017,NR,Actual,"-105,149.20"
Star,Popcorn,Capture Family Fun,Local,France,Snacks,Jan,2017,NR,Actual,"-93,698.60"
Star,Popcorn,Capture Family Fun,Local,France,Snacks,May,2017,NR,Actual,"-88,697.40"
Cheetos,Extruded / Pellet,Capture Family Fun,Global,Italy,Snacks,Aug,2017,NR,Actual,"-79,806.40"
Star,Popcorn,Capture Family Fun,Local,France,Snacks,Mar,2017,NR,Actual,"-75,814.20"
Star,Popcorn,Capture Family Fun,Local,France,Snacks,Jul,2017,NR,Actual,"-62,423.90"
Star,Popcorn,Capture Family Fun,Local,France,Snacks,Aug,2017,NR,Actual,"-55,830.10"
Star,Popcorn,Capture Family Fun,Local,France,Snacks,Jun,2017,NR,Actual,"-53,087.20"
Cheetos,Extruded / Pellet,Capture Family Fun,Global,Italy,Snacks,Jul,2017,NR,Actual,"-47,797.70"
